id,match_id,player_id,player_name,equipo,tick,hora
377,127,112,belu ,Red,26,
378,127,124,Maquia,Red,34,
379,127,2,tnt,Blue,55,
380,127,125,batix_ok,Blue,120,
381,127,124,Maquia,Blue,130,
382,128,117,Tuc,Blue,25,
383,128,117,Tuc,Blue,34,
384,128,117,Tuc,Blue,98,
385,129,2,tnt,Blue,53,
386,129,125,batix_ok,Red,83,
387,129,125,batix_ok,Red,97,
388,130,124,Maquia,Red,34,
389,130,125,batix_ok,Blue,112,
390,130,128,!Lxx,Red,129,
391,130,124,Maquia,Red,159,
394,132,129,Tomy,Red,70,
395,132,128,!Lxx,Blue,98,
396,132,120,strafinho,Red,144,
397,134,130,el tussi,Blue,19,
398,134,2,tnt,Red,28,
399,134,130,el tussi,Blue,34,
400,134,130,el tussi,Blue,48,
401,135,2,tnt,Red,89,
402,135,2,tnt,Blue,150,
403,135,130,el tussi,Blue,160,
404,135,130,el tussi,Blue,177,
405,136,128,!Lxx,Red,122,
406,136,112,belu ,Red,134,
407,136,2,tnt,Red,146,
408,138,128,!Lxx,Red,18,
409,138,2,tnt,Blue,76,
410,138,120,strafinho,Red,139,
411,138,128,!Lxx,Red,163,
414,140,2,tnt,Blue,155,
415,141,135,dero,Red,47,
416,141,135,dero,Red,49,
417,141,137,soul ⛧ (flow  br),Red,69,
419,144,138,Changuito Zeballos<3,Red,5,
420,144,124,Maquia,Red,52,
421,144,137,soul ⛧ (flow  br),Red,85,
422,146,120,strafinho,Red,28,
423,146,137,soul ⛧ (flow  br),Blue,61,
424,146,140,Bv_,Blue,80,
425,146,120,strafinho,Blue,180,
439,165,144,9,Blue,78,
440,165,142,xzn,Red,179,
441,165,2,tnt,Blue,185,
447,168,142,xzn,Red,56,
448,168,2,tnt,Blue,70,
449,168,142,xzn,Red,72,
450,168,149,kevs´,Red,90,
451,169,149,kevs´,Red,34,
452,169,149,kevs´,Red,65,
453,169,149,kevs´,Red,83,
454,170,149,kevs´,Red,2,
455,171,142,xzn,Blue,32,
456,171,148,nine,Red,66,
457,171,148,nine,Red,85,
458,171,2,tnt,Blue,115,
459,171,144,9,Blue,129,
503,192,160,Barco Basurero,Red,25,
504,192,2,tnt,Blue,92,
505,192,163,pato,Blue,97,
506,192,163,pato,Blue,121,
507,193,165,Szczęsny,Red,24,
508,193,160,Barco Basurero,Red,103,
510,195,166,                    ᵇᵘᵗᵃ',Blue,56,
511,195,165,Szczęsny,Red,65,
512,195,160,Barco Basurero,Blue,79,
513,195,166,                    ᵇᵘᵗᵃ',Blue,91,
514,196,164,sapardo,Blue,14,
515,196,2,tnt,Blue,30,
516,196,2,tnt,Blue,139,
517,197,165,Szczęsny,Red,11,
518,197,165,Szczęsny,Blue,83,
519,197,164,sapardo,Red,103,
520,197,163,pato,Blue,155,
521,197,161,𝐙𝐢𝐲𝐞𝐜𝐡𝐁𝐚𝐥𝐥💀♰ 卍,Blue,215,
522,198,161,𝐙𝐢𝐲𝐞𝐜𝐡𝐁𝐚𝐥𝐥💀♰ 卍,Blue,37,
523,198,165,Szczęsny,Blue,49,
524,198,169,uuuuuuuu,Blue,84,
525,199,169,uuuuuuuu,Blue,103,
526,199,164,sapardo,Red,126,
527,199,172,Xquis,Blue,148,
528,200,170,tute ,Red,94,
529,200,169,uuuuuuuu,Blue,107,
530,200,163,pato,Blue,154,
531,201,176, 🎄┇₸iziɑno௹,Blue,9,
532,201,175,cfk,Blue,69,
533,201,171,porongo,Blue,93,
534,203,173,merenn,Red,15,
535,203,164,sapardo,Red,53,
536,203,117,Tuc,Red,138,
537,204,117,Tuc,Red,17,
538,204,2,tnt,Blue,53,
539,204,179,guzmaf,Red,69,
540,204,2,tnt,Blue,172,
541,204,179,guzmaf,Red,182,
542,205,173,merenn,Red,11,
543,205,2,tnt,Blue,46,
544,205,173,merenn,Blue,61,
545,205,166,                    ᵇᵘᵗᵃ',Red,69,
546,205,173,merenn,Red,99,
547,206,182,Mane gallina (C),Red,10,
548,206,182,Mane gallina (C),Red,52,
549,206,182,Mane gallina (C),Red,139,
550,207,173,merenn,Blue,70,
551,207,182,Mane gallina (C),Red,83,
552,207,182,Mane gallina (C),Red,150,
553,209,183,p̿͝e̓̚r̓͘̕e͛̿͋r̽͒͝e̒̚k̈́͑a,Red,18,
554,209,117,Tuc,Red,25,
555,209,184,Mænu ,Red,58,
556,210,173,merenn,Red,10,
557,210,117,Tuc,Red,44,
558,210,117,Tuc,Red,52,
559,211,184,Mænu ,Red,80,
560,211,184,Mænu ,Red,116,
561,211,166,                    ᵇᵘᵗᵃ',Blue,133,
562,211,164,sapardo,Blue,148,
563,211,183,p̿͝e̓̚r̓͘̕e͛̿͋r̽͒͝e̒̚k̈́͑a,Red,158,
564,212,117,Tuc,Red,88,
565,212,185,Kvd💡,Red,180,
566,214,2,tnt,Blue,35,
567,214,183,p̿͝e̓̚r̓͘̕e͛̿͋r̽͒͝e̒̚k̈́͑a,Blue,110,
568,214,2,tnt,Blue,152,
573,218,185,Kvd💡,Red,20,
574,218,187,zell,Blue,50,
575,218,40, ,Blue,95,
576,218,40, ,Blue,125,
577,220,2,tnt,Blue,10,
578,220,40, ,Blue,31,
579,220,2,tnt,Blue,78,
580,221,187,zell,Blue,61,
581,221,40, ,Blue,75,
582,221,185,Kvd💡,Red,90,
583,221,186,'justice.,Red,98,
584,221,186,'justice.,Blue,107,
585,222,2,tnt,Blue,19,
586,222,187,zell,Red,24,
587,222,190,Robinho ,Blue,39,
588,222,2,tnt,Red,74,
589,222,190,Robinho ,Blue,109,
590,223,185,Kvd💡,Red,73,
591,223,190,Robinho ,Blue,92,
592,223,185,Kvd💡,Red,94,
593,223,187,zell,Blue,111,
594,223,185,Kvd💡,Red,135,
595,224,187,zell,Blue,19,
596,224,191,Matias Barbero,Blue,44,
597,224,191,Matias Barbero,Blue,63,
622,237,2,tnt,Blue,52,
623,237,200,juanchope,Blue,101,
624,237,202,dezza,Red,113,
625,237,2,tnt,Red,140,
626,237,200,juanchope,Blue,158,
627,239,206,czc,Blue,56,
628,239,199,!    𝕒𝕣𝕚𝕤𝕥𝕠 ¿?    ,Blue,71,
629,239,200,juanchope,Blue,78,
630,240,206,czc,Red,8,
631,240,198,styx,Blue,104,
632,240,198,styx,Blue,144,
633,240,199,!    𝕒𝕣𝕚𝕤𝕥𝕠 ¿?    ,Red,156,
634,240,200,juanchope,Red,185,
635,241,198,styx,Blue,114,
636,241,201,judas,Blue,149,
637,241,199,!    𝕒𝕣𝕚𝕤𝕥𝕠 ¿?    ,Blue,177,
638,242,31,favaloro1,Blue,161,
639,243,209,THIAGO,Red,7,
640,243,209,THIAGO,Red,27,
641,243,209,THIAGO,Red,32,
642,244,208,Penjamin de los Tussi,Red,19,
643,244,198,styx,Blue,136,
644,244,31,favaloro1,Red,152,
645,244,210,Wanchope,Red,155,
646,245,209,THIAGO,Red,7,
647,245,199,!    𝕒𝕣𝕚𝕤𝕥𝕠 ¿?    ,Red,13,
